subject,condition,task,task_name,n_trials,n_valid_delay,mean_eeg_erd_onset_ms,std_eeg_erd_onset_ms,mean_emg_onset_ms,std_emg_onset_ms,mean_delay_ms,std_delay_ms,mean_xcorr_lag_ms,std_xcorr_lag_ms
37,free,2,Task3,10,8,38.125,130.9326520582242,137.0,93.03762679690406,87.5,159.90231392947382,174.0,259.55538907909425
38,free,0,Task1,10,10,40.5,193.4870796720029,173.5,102.34866877492838,133.0,164.95757030218408,24.5,474.9234148786518
38,free,1,Task2,10,10,-74.0,41.58124577258358,149.5,45.0804835821445,223.5,77.10544727838624,-177.5,243.70320063552714
38,free,2,Task3,10,10,24.5,144.33381447186935,162.0,54.506880299646575,137.5,166.82700620702872,30.0,288.773267460823
39,free,0,Task1,10,10,-18.5,93.67630436775353,226.5,58.78137460114385,245.0,121.42899159591173,-61.0,382.59508622040613
39,free,1,Task2,10,10,-88.5,27.207535720825582,225.5,47.668123520860355,314.0,60.90155991434045,11.0,299.7565679013556
39,free,2,Task3,10,9,3.888888888888889,151.96450202775387,201.0,32.31098884280702,195.0,169.64014199999298,-117.5,315.64418258539155
40,free,0,Task1,10,9,33.333333333333336,152.53414918196736,208.5,79.27956861638438,185.0,194.77907713327141,-143.0,183.40119955987203
40,free,1,Task2,10,10,-60.5,81.5,145.0,78.80355321938218,205.5,50.42072986381692,39.5,420.0621977755199
40,free,2,Task3,10,10,-14.0,93.4558719396486,144.0,55.17245689653489,158.0,127.02755606560333,30.5,315.5031695561869
